Timestamp,Age,Gender,Branch,Registration Type,High School GPA,Weekly Attendance Percentage,Weekly Study Hours,Daily Study Hours,Marital Status,Employment Status,Has Study Schedule,University GPA
1/31/2025 2:23:18,21,ذكر,المعلوماتية,تسجيل اساسي,71.0,100.0,21.0,3.0,0,1,1,3.2
2/4/2025 22:53:27,20,ذكر,المعلوماتية,تسجيل اساسي,71.0,98.0,21.0,3.0,0,1,1,3.2
2/4/2025 22:02:26,24,ذكر,المعلوماتية,تسجيل اساسي,70.0,60.0,20.0,3.5,1,1,0,3.2
1/31/2025 10:49:24,25,ذكر,المعلوماتية,تسجيل اساسي,66.0,90.0,20.0,3.0,0,0,1,3.2
2/1/2025 0:35:18,21,انثى,المعلوماتية,تسجيل اساسي,70.0,69.0,10.0,4.0,0,1,0,3.2
2/5/2025 15:01:42,23,ذكر,المعلوماتية,تسجيل اساسي,84.2,80.0,10.0,2.0,0,0,0,3.2
1/31/2025 6:45:43,24,انثى,المعلوماتية,تسجيل اساسي,76.0,40.0,25.0,3.0,0,1,0,3.16
1/31/2025 7:50:49,20,ذكر,امن المعلومات,تسجيل اساسي,60.0,99.0,24.0,4.0,0,0,0,3.16
2/1/2025 13:18:49,21,ذكر,المعلوماتية,تسجيل اساسي,62.6,90.0,20.0,3.0,0,1,0,3.16
1/31/2025 10:54:37,30,ذكر,المعلوماتية,نقل,75.0,95.0,2.0,2.0,1,1,0,3.1216000000000004
1/31/2025 23:41:25,25,ذكر,المعلوماتية,تجسير,70.0,70.0,21.0,3.0,0,1,0,3.12
1/31/2025 2:47:33,22,ذكر,المعلوماتية,تسجيل اساسي,65.0,25.0,12.0,2.0,1,0,0,3.12
1/31/2025 2:26:18,24,ذكر,المعلوماتية,تسجيل اساسي,67.5,30.0,2.0,1.0,0,0,0,3.12
1/31/2025 2:24:58,21,ذكر,المعلوماتية,تسجيل اساسي,79.0,85.0,20.0,3.0,0,0,1,3.1
1/31/2025 2:22:13,20,انثى,المعلوماتية,تسجيل اساسي,83.0,90.0,3.0,1.0,0,1,1,3.1
1/31/2025 14:42:33,21,ذكر,المعلوماتية,تجسير,64.0,80.0,45.0,7.0,0,0,0,3.08
1/31/2025 2:28:04,20,ذكر,المعلوماتية,تسجيل اساسي,72.0,70.0,15.0,2.0,0,0,0,3.08
2/4/2025 21:57:10,20,ذكر,المعلوماتية,تسجيل اساسي,72.0,80.0,15.0,1.5,0,0,1,3.08
1/31/2025 14:30:23,21,انثى,المعلوماتية,تسجيل اساسي,70.0,99.0,3.0,4.0,0,0,0,3.08
2/4/2025 21:57:25,20,ذكر,امن المعلومات,تسجيل اساسي,60.0,85.0,25.0,4.0,0,1,0,3.04
1/31/2025 14:47:52,25,ذكر,المعلوماتية,تسجيل اساسي,70.0,60.0,12.0,1.5,1,0,1,3.04
2/4/2025 22:09:50,23,ذكر,المعلوماتية,تسجيل اساسي,80.4,50.0,10.0,1.5,0,0,0,3.02
1/31/2025 3:42:02,23,ذكر,المعلوماتية,تسجيل اساسي,80.4,50.0,10.0,1.5,0,0,0,3.016
1/31/2025 14:32:00,23,ذكر,تعويضات سنية,تسجيل اساسي,70.0,80.0,8.0,1.5,0,0,0,3.0144
1/31/2025 6:15:13,20,ذكر,المعلوماتية,تسجيل اساسي,75.0,90.0,42.0,6.0,0,0,0,3.0
1/31/2025 17:44:39,21,انثى,المعلوماتية,تسجيل اساسي,75.0,100.0,40.0,5.0,0,0,1,3.0
1/31/2025 10:57:24,21,ذكر,المعلوماتية,تسجيل اساسي,75.0,100.0,30.0,5.0,0,0,0,3.0
2/2/2025 13:32:03,25,ذكر,المعلوماتية,تسجيل اساسي,76.0,40.0,28.0,4.0,0,1,0,3.0
1/31/2025 2:23:43,26,ذكر,المعلوماتية,تسجيل اساسي,60.0,100.0,20.0,4.0,0,0,1,3.0
1/31/2025 17:17:04,21,ذكر,امن المعلومات,تسجيل اساسي,66.0,85.0,20.0,4.0,0,1,0,3.0
1/31/2025 14:33:59,20,ذكر,المعلوماتية,تسجيل اساسي,66.0,100.0,18.0,2.0,0,1,0,3.0
1/31/2025 13:04:21,20,ذكر,المعلوماتية,تسجيل اساسي,70.0,95.0,15.0,2.0,0,0,0,3.0
1/31/2025 2:33:17,18,ذكر,امن المعلومات,تسجيل اساسي,65.0,85.0,14.0,2.0,0,0,0,3.0
1/31/2025 4:05:49,22,ذكر,المعلوماتية,تسجيل اساسي,79.0,80.0,14.0,2.0,0,1,0,3.0
1/31/2025 10:44:46,21,ذكر,المعلوماتية,تسجيل اساسي,66.0,80.0,12.0,2.0,0,0,0,3.0
2/5/2025 0:03:40,23,انثى,المعلوماتية,تسجيل اساسي,67.0,90.0,10.0,3.0,0,0,0,3.0
1/31/2025 10:50:46,21,ذكر,المعلوماتية,تسجيل اساسي,75.0,80.0,10.0,2.0,0,1,1,3.0
1/31/2025 2:28:55,20,ذكر,المعلوماتية,تسجيل اساسي,70.0,75.0,10.0,1.0,0,0,0,3.0
1/31/2025 9:58:48,25,ذكر,المعلوماتية,نقل,70.0,85.0,9.0,1.0,0,1,0,3.0
2/4/2025 22:17:48,21,ذكر,المعلوماتية,تجسير,58.0,80.0,7.0,1.0,0,1,0,3.0
1/31/2025 10:43:09,24,ذكر,المعلوماتية,نقل,74.0,50.0,6.0,1.0,1,1,1,3.0
2/5/2025 13:07:03,21,انثى,المعلوماتية,تسجيل اساسي,70.0,95.0,2.0,2.0,0,0,1,3.0
1/31/2025 9:18:13,26,ذكر,نظم معلومات ادارية,تسجيل اساسي,84.86,10.0,2.0,1.0,1,1,0,3.0
1/31/2025 15:21:03,23,ذكر,المعلوماتية,تسجيل اساسي,75.0,40.0,4.0,2.0,0,1,0,2.992
1/31/2025 7:10:59,19,ذكر,المعلوماتية,تسجيل اساسي,78.75,100.0,40.0,6.0,0,0,1,2.96
1/31/2025 12:39:20,20,ذكر,المعلوماتية,تسجيل اساسي,73.3,70.0,14.0,2.0,0,0,0,2.96
2/4/2025 22:08:14,21,ذكر,المعلوماتية,تسجيل اساسي,60.0,75.0,35.0,4.0,0,0,1,2.92
2/4/2025 21:58:58,23,انثى,المعلوماتية,تسجيل اساسي,75.0,90.0,20.0,3.0,1,0,1,2.92
1/31/2025 11:43:24,23,ذكر,المعلوماتية,نقل,68.0,50.0,14.0,2.0,0,0,0,2.92
2/2/2025 19:29:49,23,ذكر,المعلوماتية,تجسير,60.0,70.0,13.0,2.0,0,1,0,2.92
1/31/2025 2:22:23,21,ذكر,المعلوماتية,تجسير,62.0,90.0,9.0,2.0,1,0,1,2.92
1/31/2025 11:14:22,20,ذكر,المعلوماتية,تسجيل اساسي,76.0,100.0,35.0,5.0,0,1,0,2.8960000000000004
1/31/2025 10:12:38,21,ذكر,المعلوماتية,تسجيل اساسي,78.0,90.0,35.0,5.0,0,0,1,2.88
1/31/2025 2:30:44,24,ذكر,المعلوماتية,نقل,72.0,15.0,20.0,4.0,0,1,1,2.88
2/4/2025 22:19:54,20,انثى,علوم صحية,نقل,87.0,100.0,15.0,3.0,0,1,1,2.88
1/31/2025 6:50:43,21,ذكر,المعلوماتية,تسجيل اساسي,69.0,70.0,15.0,2.0,0,1,0,2.88
1/31/2025 19:21:19,24,ذكر,المعلوماتية,تسجيل اساسي,70.0,90.0,14.0,2.0,0,0,0,2.88
1/31/2025 10:33:00,24,ذكر,المعلوماتية,تسجيل اساسي,70.0,70.0,10.0,2.0,1,1,0,2.88
1/31/2025 2:26:01,23,ذكر,المعلوماتية,تسجيل اساسي,69.5,70.0,10.0,1.0,0,1,0,2.88
1/31/2025 2:30:22,21,ذكر,المعلوماتية,تسجيل اساسي,69.0,40.0,5.0,1.0,0,0,0,2.88
2/4/2025 21:56:21,21,ذكر,المعلوماتية,تسجيل اساسي,70.0,30.0,4.0,1.0,0,0,0,2.88
1/31/2025 10:52:33,22,انثى,المعلوماتية,تسجيل اساسي,72.0,1.0,7.0,1.0,0,1,0,2.8680000000000003
1/31/2025 2:26:56,21,انثى,المعلوماتية,تسجيل اساسي,70.0,90.0,21.0,3.0,0,0,0,2.86
1/31/2025 2:38:01,24,ذكر,المعلوماتية,تسجيل اساسي,75.0,65.0,15.0,2.0,0,1,0,2.84
1/31/2025 2:24:59,24,ذكر,المعلوماتية,تسجيل اساسي,74.0,90.0,12.0,1.5,1,1,0,2.84
2/3/2025 11:05:57,23,انثى,المعلوماتية,تسجيل اساسي,73.0,65.0,6.0,2.0,0,0,0,2.84
1/31/2025 11:14:35,21,ذكر,المعلوماتية,تسجيل اساسي,72.0,90.0,40.0,6.0,0,0,1,2.8
2/1/2025 13:48:52,22,ذكر,المعلوماتية,تسجيل اساسي,82.0,80.0,40.0,5.0,0,1,0,2.8
1/31/2025 13:18:14,19,ذكر,المعلوماتية,تسجيل اساسي,75.0,70.0,30.0,4.0,0,0,0,2.8
2/4/2025 22:14:36,23,ذكر,امن المعلومات,تسجيل اساسي,57.0,80.0,25.0,3.0,0,0,1,2.8
1/31/2025 22:16:27,24,ذكر,المعلوماتية,تسجيل اساسي,70.42,10.0,24.0,4.0,0,0,1,2.8
1/31/2025 7:44:47,20,ذكر,المعلوماتية,تسجيل اساسي,73.5,70.0,15.0,2.0,0,1,0,2.8
2/5/2025 16:00:34,21,ذكر,المعلوماتية,تسجيل اساسي,77.0,70.0,15.0,2.0,0,0,0,2.8
1/31/2025 3:00:51,25,ذكر,المعلوماتية,نقل,85.0,20.0,14.0,2.0,0,1,1,2.8
1/31/2025 5:04:10,22,ذكر,المعلوماتية,تسجيل اساسي,65.0,70.0,14.0,2.0,0,1,0,2.8
2/2/2025 19:29:46,23,ذكر,المعلوماتية,تجسير,60.0,20.0,14.0,2.0,0,1,1,2.8
1/31/2025 2:54:07,23,ذكر,المعلوماتية,تسجيل اساسي,70.0,40.0,12.0,2.0,0,1,0,2.8
2/4/2025 22:11:43,21,انثى,علوم صحية,نقل,75.8,70.0,12.0,2.0,0,0,0,2.8
2/4/2025 21:56:41,22,ذكر,المعلوماتية,نقل,70.0,20.0,10.0,2.0,0,1,0,2.8
1/31/2025 2:57:00,23,ذكر,المعلوماتية,نقل,82.5,60.0,10.0,1.5,0,1,0,2.8
1/31/2025 14:11:37,24,ذكر,المعلوماتية,تسجيل اساسي,80.0,15.0,10.0,1.0,0,0,0,2.8
2/1/2025 20:49:42,22,انثى,المعلوماتية,تسجيل اساسي,75.0,75.0,6.0,2.0,0,0,0,2.8
1/31/2025 16:57:42,21,انثى,المعلوماتية,تسجيل اساسي,74.0,100.0,6.0,1.0,0,0,0,2.8
2/3/2025 11:07:07,23,انثى,المعلوماتية,تسجيل اساسي,75.0,40.0,5.0,3.0,0,1,1,2.8
1/31/2025 3:21:00,23,ذكر,المعلوماتية,تسجيل اساسي,60.0,90.0,5.0,2.0,0,0,0,2.8
1/31/2025 13:30:51,23,ذكر,المعلوماتية,تسجيل اساسي,70.0,80.0,5.0,1.0,0,0,0,2.8
2/1/2025 22:14:08,24,ذكر,المعلوماتية,نقل,75.0,40.0,5.0,1.0,0,1,0,2.8
2/4/2025 22:58:46,23,ذكر,المعلوماتية,تسجيل اساسي,79.0,1.0,5.0,1.0,0,1,0,2.8
2/4/2025 21:56:20,24,ذكر,المعلوماتية,نقل,85.0,10.0,4.0,1.0,0,1,0,2.8
1/31/2025 2:24:44,20,ذكر,المعلوماتية,تسجيل اساسي,70.0,10.0,2.0,1.0,0,1,0,2.8
1/31/2025 13:54:36,20,ذكر,المعلوماتية,تسجيل اساسي,70.0,100.0,10.0,1.0,0,1,0,2.76
1/31/2025 2:24:43,27,ذكر,نظم معلومات ادارية,تسجيل اساسي,65.5,50.0,5.0,1.0,0,1,0,2.76
1/31/2025 14:37:08,27,ذكر,هندسة الميكاترونيك ,تسجيل اساسي,87.0,50.0,6.0,1.0,0,1,0,2.742
1/31/2025 10:11:53,25,ذكر,المعلوماتية,تسجيل اساسي,70.4,20.0,1.8,1.5,0,1,0,2.736
1/31/2025 14:11:30,24,ذكر,المعلوماتية,تسجيل اساسي,68.0,50.0,10.0,2.0,0,0,0,2.72
2/4/2025 21:56:16,24,ذكر,المعلوماتية,تسجيل اساسي,70.0,40.0,7.0,1.0,0,1,0,2.72
2/2/2025 4:37:40,22,ذكر,المعلوماتية,نقل,86.63,60.0,33.0,6.0,0,0,0,2.7
1/31/2025 2:23:03,28,ذكر,المعلوماتية,تسجيل اساسي,71.0,75.0,14.0,2.0,0,0,0,2.7
1/31/2025 2:27:00,22,ذكر,المعلوماتية,تسجيل اساسي,75.0,90.0,12.0,2.0,0,1,1,2.7
1/31/2025 12:42:10,21,انثى,المعلوماتية,تسجيل اساسي,73.0,85.0,8.0,2.0,0,1,0,2.7
2/1/2025 1:43:17,23,ذكر,المعلوماتية,تسجيل اساسي,69.0,65.0,10.0,1.5,0,1,0,2.64
1/31/2025 2:29:30,20,ذكر,المعلوماتية,تسجيل اساسي,75.0,95.0,30.0,4.0,0,0,0,2.6
1/31/2025 12:57:36,21,انثى,المعلوماتية,تسجيل اساسي,73.0,85.0,9.0,1.3,0,1,0,2.6
1/31/2025 2:22:08,23,انثى,المعلوماتية,تسجيل اساسي,65.0,80.0,8.0,2.0,0,0,0,2.6
1/31/2025 13:38:19,25,ذكر,المعلوماتية,تسجيل اساسي,70.0,60.0,8.0,1.5,0,1,1,2.6
2/2/2025 19:32:15,26,ذكر,المعلوماتية,تسجيل اساسي,80.0,10.0,20.0,3.0,0,1,0,2.52
2/4/2025 22:30:52,20,ذكر,المعلوماتية,تسجيل اساسي,75.0,90.0,35.0,6.0,0,0,0,2.5
1/31/2025 9:15:15,34,ذكر,نظم معلومات ادارية,تسجيل اساسي,70.0,80.0,10.0,2.0,1,1,0,2.5
1/31/2025 2:34:08,23,ذكر,المعلوماتية,تسجيل اساسي,70.0,1.0,2.0,3.0,0,1,1,2.48
1/31/2025 14:40:51,23,انثى,كلية التربية,تسجيل اساسي,70.0,50.0,14.0,2.0,1,1,1,2.44
1/31/2025 20:07:38,24,ذكر,المعلوماتية,تسجيل اساسي,63.0,80.0,30.0,4.0,0,1,1,2.4
1/31/2025 6:49:40,20,ذكر,المعلوماتية,تسجيل اساسي,71.0,90.0,15.0,4.0,0,0,0,2.4
2/1/2025 15:20:19,18,انثى,المعلوماتية,تسجيل اساسي,70.0,85.0,8.0,1.0,0,1,0,2.4
1/31/2025 2:34:03,22,ذكر,المعلوماتية,نقل,81.0,10.0,7.0,1.5,0,1,0,2.4
